timestamp,Open,High,Low,Close,Volume,OI Open,OI High,OI Low,OI Close,FR Open,FR High,FR Low,FR Close
2022-09-17,19786.5,20174.0,19741.0,20110.5,18525.70222675,444628514.0,467902994.0,438987723.0,462681848.0,0.0041,0.01,-0.0778,-0.0071
2022-09-18,20110.5,20112.0,19314.0,19406.0,27503.68203565,462681848.0,469640324.0,447829936.0,448582101.0,-0.0071,0.01,-0.0315,0.01
2022-09-19,19406.0,19669.5,18210.0,19529.5,62655.12935961,448582101.0,451131029.0,417701510.0,421660574.0,0.01,0.01,-0.0521,-0.0017
2022-09-20,19529.5,19625.0,18693.5,18869.0,43000.11021973,421660574.0,429470643.0,415806151.0,416660139.0,-0.0017,0.01,-0.0195,0.0017
2022-09-21,18869.0,20052.5,18090.0,18448.5,84731.30004352,416660139.0,427262846.0,398992540.0,403101931.0,0.0017,0.01,-0.0152,-0.0152
2022-09-22,18448.5,19512.5,18348.0,19395.5,43410.60611745,403101931.0,417164607.0,402374333.0,414838218.0,-0.0152,0.01,-0.0395,-0.0012
2022-09-23,19395.5,19493.0,18519.5,19281.0,39378.95323609,414838218.0,424678637.0,407099816.0,407133634.0,-0.0012,0.01,-0.025,-0.0036
2022-09-24,19281.0,19300.0,18798.5,18915.5,20688.3951905,407133634.0,414299345.0,395433113.0,413748406.0,-0.0036,0.01,-0.0088,0.004
2022-09-25,18915.5,19180.0,18613.0,18805.0,23001.59310378,413748406.0,419034568.0,408069951.0,414947844.0,0.004,0.01,-0.0174,0.0
2022-09-26,18805.0,19312.5,18668.0,19222.0,39013.6488555,414947844.0,417243286.0,405412680.0,414109487.0,0.0,0.01,-0.0298,-0.0041
2022-09-27,19222.0,20379.0,18784.5,19068.0,70122.61105018,414109487.0,440512976.0,398949422.0,399727105.0,-0.0041,0.01,-0.0162,0.0016
2022-09-28,19068.0,19785.0,18452.0,19408.5,60656.51455012,399727105.0,433310451.0,393114747.0,419957562.0,0.0016,0.01,-0.0091,0.0034
2022-09-29,19408.5,19640.5,18833.0,19580.5,53338.11301508,419957562.0,431144757.0,415285952.0,427281710.0,0.0034,0.01,-0.0244,0.0045
2022-09-30,19580.5,20177.5,19150.0,19411.0,57387.78900261,427281710.0,447509368.0,422552862.0,440691297.0,0.0045,0.01,-0.0255,0.0036
2022-10-01,19411.0,19475.0,19119.0,19301.0,14448.53232668,440691297.0,452400062.0,437889335.0,446519342.0,0.0036,0.01,-0.012,0.0094
2022-10-02,19301.0,19387.0,18859.0,19045.0,23830.80291342,446519342.0,464100351.0,442831800.0,445035972.0,0.0094,0.01,-0.0266,0.0029
2022-10-03,19045.0,19738.0,18954.5,19625.5,38085.17021945,445035972.0,454322605.0,429323389.0,443572141.0,0.0029,0.01,-0.0063,0.006
2022-10-04,19625.5,20465.0,19485.0,20335.0,42112.55202405,443572141.0,463035703.0,443083427.0,460294221.0,0.006,0.01,-0.0115,0.0048
2022-10-05,20335.0,20360.5,19733.0,20156.0,36163.97513811,460294221.0,474182962.0,446673429.0,453109320.0,0.0048,0.01,-0.0232,0.0076
2022-10-06,20156.0,20440.0,19850.0,19955.0,40137.40784548,453109320.0,479239208.0,452843267.0,466382695.0,0.0076,0.01,-0.0211,0.008
2022-10-07,19955.0,20069.0,19272.5,19520.5,38947.95602615,466382695.0,477294547.0,456385645.0,466623708.0,0.008,0.01,-0.0069,-0.006
2022-10-08,19520.5,19616.5,19187.0,19411.5,12180.2669348,466623708.0,478281599.0,465147681.0,467636183.0,-0.006,0.01,-0.0248,-0.0048
2022-10-09,19411.5,19553.5,19314.0,19435.5,17625.05387221,467636183.0,487583530.0,463876653.0,486939081.0,-0.0048,0.01,-0.0215,-0.0034
2022-10-10,19435.5,19518.5,18949.5,19121.0,33195.56163209,486939081.0,517491823.0,480746598.0,488802963.0,-0.0034,0.01,-0.0086,0.01
2022-10-11,19121.0,19255.0,18832.5,19051.5,27431.27516765,488802963.0,522184385.0,488802963.0,505451667.0,0.01,0.01,-0.0058,0.0023
2022-10-12,19051.5,19229.5,18922.5,19148.0,19003.08613613,505451667.0,520239486.0,501933556.0,503352934.0,0.0023,0.01,-0.0302,0.0023
2022-10-13,19148.0,19499.0,18009.0,19371.5,56318.13075392,503352934.0,509688510.0,470575901.0,475494244.0,0.0023,0.01,-0.0121,-0.0044
